Alias,Last Active,Status,Origin,Target Industries,Target Countries,Actor Type,Motivation
"APT-C-06, DarkHotel, Tapaoux, Fallout Team, DUBNIUM",Jun 2021,Active,South Korea,7,6,Targeted,State-Sponsored
Avaddon,Jun 2021,Inactive,Unknown,32,40,eCrime,Criminal
"TinyLoader, TinyPoS, Tiny Utils",Apr 2021,Inactive,"Russian Federation, Eastern Europe",2,5,eCrime,Criminal
"Silent Librarian, Cobalt Dickens, Yellow Nabu, TA407, Mabna Institute",Mar 2021,Active,Iran,1,21,Targeted,State-Sponsored
"BRONZE VINEWOOD, Chameleon, MrsDash, Violet Typhoon, APT31, ZIRCONIUM",Mar 2021,Active,China,12,2,Targeted,State-Sponsored
"Maze Team, Maze, Egregor, Egregor Team, GOLD PHANTOM, GOLD VILLAGE",Feb 2021,Inactive,"Russian Federation, Eastern Europe",33,40,eCrime,Criminal
"Naikon, Camerashy",Feb 2021,Active,China,4,10,Targeted,State-Sponsored
"Mailto2, KoKo, Netwalker, and KoKo, KazKavKovKiz, Mailto",Jan 2021,Inactive,"Russian Federation, Eastern Europe",27,26,eCrime,Criminal
--,Jan 2021,Active,China,7,4,Targeted,State-Sponsored
"CageyChameleon, CryptoCore, CryptoMimic, Dangerous Password, Sapphire Sleet",Dec 2020,Retired,North Korea,3,4,eCrime,"State-Sponsored, Criminal"
EmpireMonkey,Nov 2020,Retired,Unknown,6,3,eCrime,Criminal
"xHunt, Sakabota, COBALT KATANA",Aug 2020,Active,Iran,3,1,Targeted,State-Sponsored
"La Nueve de Anon, La9",Jul 2020,Inactive,Spain,5,1,Targeted,Hacktivism
"Red Hackers Association, RedHack",Jun 2020,Inactive,Turkey,5,2,Targeted,Unknown
Qademoun,Jun 2020,Inactive,Lebanon,5,1,Targeted,Hacktivism
Ruthenium,Apr 2020,Inactive,China,6,4,Targeted,State-Sponsored
Syrian Electronic Army,Mar 2020,Retired,Syrian Arab Republic,6,6,Targeted,State-Sponsored
"Phineas Fisher, Subcowmandante Marcos",Feb 2020,Inactive,Unknown,6,6,Targeted,Hacktivism
"Silence Group, TrueBot",Feb 2020,Inactive,"Russian Federation, Eastern Europe",2,3,eCrime,Criminal
"Cobalt Group, Cobalt Gang, GOLD KINGSWOOD, Mule Libra",Feb 2020,Inactive,Unknown,3,14,eCrime,Criminal
"FIN6, ITG08, GOLD FRANKLIN, Camouflage Tempest, FrameworkPoS, Trinity",Jun 2019,Inactive,"Russian Federation, Eastern Europe",2,1,eCrime,Criminal
"Eredel and Supreme ++, Nocturnal Stealer, Arkei Stealer, Rarog, Eredel, Supreme ++",May 2019,Inactive,Russian Federation,0,0,eCrime,Criminal
Ryuk,May 2019,Retired,"Russian Federation, Eastern Europe",7,3,eCrime,Criminal
